ticket_id,customer_id,category,priority,status,created_at,first_response_at,resolved_at,rating,resolution_text,agent_name,channel,is_escalated
TKT-00229,CUST-0097,,Low,closed,2023-06-24T00:00:00+00:00,24/06/2023,06/26/2023 00:00,1.0,<div>Fixed the <a href='#'>configuration</a> issue</div>,Linda,phone,0
TKT-01386,CUST-0245,account,Low,in_progress,07/23/2024 00:00-05:00,07/26/2024 00:00,N/A, 5 ,Bug confirmed in v2.3.1. Hotfix deployed.,Joseph,chat,Y
TKT-01480,CUST-0377,TECHNICAL,Medium,Resolved,15-Jul-2025,2025-07-17T00:00:00,07-25-2025,1/5,Network issue on customer side. Confirmed with traceroute.,Patricia,in-app,Y
TKT-01648,CUST-0055,technical,high,closed,06/20/2025 00:00-05:00,2025-06-20T04:00:00,22/06/2025,five,Bug confirmed in v2.3.1. Hotfix deployed.,Jennifer,CHAT,no
TKT-01129,CUST-0423,,crit,open,2023-07-06T00:00:00+09:00,07-06-2023,,one,Provided documentation link for the integration setup.,Jessica,email,False
TKT-00377,CUST-0381,security,HIGH,CLOSED,2024-09-25T00:00:00-08:00,2024/09/25,2024/09/27,1.0,Network issue on customer side. Confirmed with traceroute.,Patricia,chat,0
TKT-01799,CUST-0372,Billing,Low,closed,"Nov 15, 2025+03:00",11/15/2025 01:00,2025-11-15, 5 ,Customer was on an outdated plan. Migrated to current tier.,Joseph,phone,false
TKT-01989,CUST-0254,Billing,med,IN_PROGRESS,02-Mar-2023+03:00,03/02/2023 02:00,,two,Escalated to engineering team for further investigation.,Karen,in-app,False
TKT-01395,CUST-0409,account,hi,CLOSED,2025-03-15,03-15-2025,2025-03-22,3 stars,Bug confirmed in v2.3.1. Hotfix deployed.,William,in-app,0
TKT-01981,CUST-0320,,critical,Open,2023-08-13+05:30,"Aug 13, 2023",2023/08/13,four,Issue resolved by resetting the API key and clearing the cache.,Sarah,,False
TKT-00004,CUST-0307,billing,critical,open,09-17-2023-08:00,"Sep 17, 2023",2023-09-17T04:00:00,4 stars,User error - provided step-by-step guide.,Jessica,Phone,1
TKT-00261,CUST-0305,ACCOUNT,Low,open,2023-08-19T00:00:00+05:30,2023-08-20T00:00:00,N/A, 1 ,,Thomas,phone,no
TKT-00802,CUST-0111,security,Low,in_progress,"Mar 02, 2024+03:00",2024-03-02,"Mar 12, 2024",4,Provided documentation link for the integration setup.,Christopher,chat,1
TKT-00903,CUST-0170,,med,resolved,25/01/2025+03:00,25-Jan-2025,2025-01-28,two,Bug confirmed in v2.3.1. Hotfix deployed.,Barbara,CHAT,0
TKT-00478,CUST-0074,security,high,CLOSED,11/06/2025+09:00,2025/06/12,2025/06/11,3 stars,,Sarah,,no
TKT-00584,CUST-0219,billing,high,open,09/21/2025 00:00+00:00,"Sep 22, 2025","Sep 26, 2025",,Network issue on customer side. Confirmed with traceroute.,Mary,chat,True
TKT-00735,CUST-0083,Billing,medium,closed,2024-08-27T00:00:00Z,27-Aug-2024,2024/09/01,,Bug confirmed in v2.3.1. Hotfix deployed.,Thomas,email,False
TKT-00786,CUST-0003,technical,hi,Open,2023-08-03T00:00:00+09:00,08-03-2023,2023-08-03T08:00:00,5/5,,Richard,email,1
TKT-01164,CUST-0134,,CRITICAL,Resolved,2023-03-01+09:00,04/03/2023,N/A,4/5,,Robert,,no
TKT-01191,CUST-0284,Feature Request,low,Resolved,03-18-2024,N/A,2024-03-18,4,Escalated to engineering team for further investigation.,Sarah,CHAT,N
TKT-00320,CUST-0058,Billing,high,IN_PROGRESS,2023-02-25T00:00:00+05:30,25-Feb-2023,2023-02-25T08:00:00,3 stars,Provided documentation link for the integration setup.,Barbara,in-app,Y
TKT-00635,CUST-0363,technical,hi,IN_PROGRESS,12/10/2024 00:00-08:00,2024-12-10T12:00:00,11/12/2024,5,,Patricia,email,True
TKT-00292,CUST-0284,feature_request,CRITICAL,escalated,"Sep 04, 2025+03:00",09-04-2025,2025/09/04,5.0,<div>Fixed the <a href='#'>configuration</a> issue</div>,David,email,False
TKT-00186,CUST-0375,integration,hi,Open,06/12/2023-08:00,2023-12-06T12:00:00,2023/12/06,,,Jennifer,,false
TKT-00776,CUST-0006,Integration,crit,Open,2025-03-27,2025-03-27T01:00:00,2025-03-27, 5 ,Provided documentation link for the integration setup.,Patricia,phone,False
TKT-01948,CUST-0321,feature_request,medium,closed,01-Jul-2023,2023-07-03,null, 3 ,,John,Phone,Y
TKT-01627,CUST-0138,,critical,IN_PROGRESS,02/15/2025 00:00+03:00,2025/02/15,22-Feb-2025,four,<div>Fixed the <a href='#'>configuration</a> issue</div>,William,in-app,0
TKT-00805,CUST-0402,Integration,critical,Open,2024-07-03,07/06/2024 00:00,06/07/2024,,,Robert,,True
